"Authors","Author full names","Author(s) ID","Title","Source title","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source"
"Chu Y.-C.; Chen S.S.-S.; Chen K.-B.; Sun J.-S.; Shen T.-K.; Chen L.-K.","Chu, Yuan-Chia (57202613011); Chen, Saint Shiou-Sheng (59316180400); Chen, Kuen-Bao (11240738200); Sun, Jui-Sheng (59316035200); Shen, Tzu-Kuei (59316598700); Chen, Li-Kuei (9844671500)","57202613011; 59316180400; 11240738200; 59316035200; 59316598700; 9844671500","Enhanced labor pain monitoring using machine learning and ECG waveform analysis for uterine contraction-induced pain","BioData Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203257991&doi=10.1186%2fs13040-024-00383-z&partnerID=40&md5=7b40ce9351e61832970e1199c625878d","Objectives: This study aims to develop an innovative approach for monitoring and assessing labor pain through ECG waveform analysis, utilizing machine learning techniques to monitor pain resulting from uterine contractions. Methods: The study was conducted at National Taiwan University Hospital between January and July 2020. We collected a dataset of 6010 ECG samples from women preparing for natural spontaneous delivery (NSD). The ECG data was used to develop an ECG waveform-based Nociception Monitoring Index (NoM). The dataset was divided into training (80%) and validation (20%) sets. Multiple machine learning models, including LightGBM, XGBoost, SnapLogisticRegression, and SnapDecisionTree, were developed and evaluated. Hyperparameter optimization was performed using grid search and five-fold cross-validation to enhance model performance. Results: The LightGBM model demonstrated superior performance with an AUC of 0.96 and an accuracy of 90%, making it the optimal model for monitoring labor pain based on ECG data. Other models, such as XGBoost and SnapLogisticRegression, also showed strong performance, with AUC values ranging from 0.88 to 0.95. Conclusions: This study demonstrates that the integration of machine learning algorithms with ECG data significantly enhances the accuracy and reliability of labor pain monitoring. Specifically, the LightGBM model exhibits exceptional precision and robustness in continuous pain monitoring during labor, with potential applicability extending to broader healthcare settings. Trial registration: ClinicalTrials.gov Identifier: NCT04461704. © The Author(s) 2024.","Artificial Intelligence (AI); Clinical Decision-Making; Electrocardiography (ECG); Healthcare Technology; Labor Pain; Machine Learning; Nociception Assessment; Pain Monitoring; Predictive Analytics; Uterine Contractions","adult; Article; controlled study; cross validation; electrocardiography; female; health care system; human; labor pain; machine learning; major clinical study; measurement accuracy; Nociception Monitoring Index; pain assessment; scoring system; spontaneous placental delivery; Taiwan; training; university hospital; uterus contraction; young adult","Article","Scopus"
"Umamaheswari P.; Ramaswamy V.","Umamaheswari, P. (57209449020); Ramaswamy, V. (37093825200)","57209449020; 37093825200","An integrated framework for rainfall prediction and analysis using a Stacked Heterogeneous Ensemble Model (SHEM)","Expert Systems with Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200440099&doi=10.1016%2fj.eswa.2024.124831&partnerID=40&md5=82b74378473e045d31a64ff71ce0a41a","Recent climate conditions in India have led to numerous disasters, including floods, overflowing rivers, broken dams, and reduced vegetation. Machine learning aims to train models to make predictions based on historical data. Although many studies have focused on predictions and model building, this research introduces a novel integrated framework using a Stacked Heterogeneous Ensemble Model (SHEM). It aims to enhance prediction accuracy by employing another novel approach for imputing missing values, the Variable Specific Hot Deck (VSHD) imputation method. The outcomes were contrasted with established machine learning techniques, including random forest, decision tree, k-nearest neighbor, and support vector machine. After completing the imputation, we proceeded to implement the SHEM model. Real-time climate data for the Cuddalore location in Tamil Nadu state, South India was collected from the NASA Power Access viewer portal to verify the accuracy level of the proposed model. Performance analysis indicates that the proposed imputation outperforms all four alternative models with a 30% average improvement in accuracy. Moreover, the developed SHEM model has a reduced RMSE value of 0.321 and an R-squared value of 0.952 and shows a 9% improvement in accuracy compared to the base model's performance. Furthermore, these prediction results are compared to an LSTM (Long Short Term Memory), a deep learning model to calculate accuracy and loss, showing that the proposed achieves high accuracy and significant loss during validation. The obtained results can serve as a guideline for atmospheric scientists and various weather forecasting applications, helping them to choose the most appropriate machine learning method for their prediction task. © 2024 Elsevier Ltd","Deep learning; Imputation; Machine learning; Rainfall prediction; Regression; Stacking ensemble model; Weather forecasting","Climate models; Decision trees; Learning systems; Long short-term memory; NASA; Nearest neighbor search; Rain; Support vector machines; Deep learning; Ensemble models; Heterogeneous ensembles; Imputation; Integrated frameworks; Machine-learning; Rainfall prediction; Regression; Stacking ensemble model; Stackings; Weather forecasting","Article","Scopus"
"Illarionova S.; Hamoudi R.; Zapevalina M.; Fedin I.; Alsahanova N.; Bernstein A.; Burnaev E.; Alferova V.; Khrameeva E.; Shadrin D.; Talaat I.; Bouridane A.; Sharaev M.","Illarionova, S. (57221414430); Hamoudi, R. (7003699541); Zapevalina, M. (59287733900); Fedin, I. (59288747200); Alsahanova, N. (57703575700); Bernstein, A. (55926029700); Burnaev, E. (15762040400); Alferova, V. (6602169765); Khrameeva, E. (25627689800); Shadrin, D. (57203155501); Talaat, I. (7801465176); Bouridane, A. (6701348149); Sharaev, M. (56664515200)","57221414430; 7003699541; 59287733900; 59288747200; 57703575700; 55926029700; 15762040400; 6602169765; 25627689800; 57203155501; 7801465176; 6701348149; 56664515200","A hierarchical algorithm with randomized learning for robust tissue segmentation and classification in digital pathology","Information Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201712854&doi=10.1016%2fj.ins.2024.121358&partnerID=40&md5=2b2851f8d0d1927b14af612f26afe473","Highly detailed and accurate segmentation and classification of images constitutes an important class of tasks in computer vision. Typical “universal” domain-agnostic methods are known to suffer from instabilities and are prone to adversarial perturbations. Natural heterogeneity inherent in biological tissue structures complicates the interpretation of images even by trained physicians. Yet, algorithms in the medical domain require a high level of stability and interpretability to ensure their adoption by clinical experts and acceptance in clinical decision-making. In this work, we propose a novel method for segmentation and classification to address these challenges. The method is based on a hierarchical approach and biologically-informed feature extraction. The method's technical pipeline includes the automatic extraction of key biologically-informed features typically considered by physicians. This is followed by image classification using these features. Both stages rely on randomized ML techniques. The proposed hierarchical biomedically-informed approach significantly improved the image classification quality compared to the baseline solution of image classification in the task of colorectal cancer (CRC) analysis. The average F1-score for the four tissue types increased from 0.737 to 0.956. Using tumor tissue classification task as an example, we showed that the proposed algorithm offers an effective and practical avenue to solve these challenging issues. © 2024","Computer vision; Digital pathology; Machine learning; Randomized learning; Slide analysis; Tissue analysis","Contrastive Learning; Federated learning; Image segmentation; Digital pathologies; Domain agnostics; Hierarchical algorithm; Images classification; Machine-learning; Randomized learning; Slide analyze; Tissue analysis; Tissue classification; Tissue segmentation; Adversarial machine learning","Article","Scopus"
"Fang J.","Fang, Jian (59176372800)","59176372800","Artificial intelligence robots based on machine learning and visual algorithms for interactive experience assistance in music classrooms","Entertainment Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196174866&doi=10.1016%2fj.entcom.2024.100779&partnerID=40&md5=f16a33f4589b963606fdbef195fdb06d","This article aims to study the application of artificial intelligence robots based on machine learning and visual algorithms in music classroom interactive experience assistance. In artificial intelligence robots, mobile adaptive networks can be used to optimize the perception and decision-making abilities of robots. By continuously learning and adapting to environmental changes, robots can better understand and respond to the interactive needs of music classrooms, providing more accurate and targeted auxiliary services. By learning and analyzing rich training data, robots can possess higher-level cognitive and comprehension abilities. In terms of music recommendation, the K-nearest neighbor algorithm is used to recommend music works that are suitable for students. By analyzing students’ music preferences and learning needs, robots provide personalized music recommendations to students based on this information, helping them better participate in and enjoy music classes. By applying machine learning and visual algorithms to music classroom interaction experiments, artificial intelligence robots based on machine learning and visual algorithms have the potential to assist in music classroom interaction experience, and teaching optimization strategies for music classrooms have been proposed. © 2024","Artificial intelligence robots; Interactive experience; Machine learning; Music classroom; Visual algorithms","Decision making; Intelligent robots; Learning algorithms; Music; Nearest neighbor search; Students; Adaptive networks; Artificial intelligence robot; Classroom interaction; Intelligence robots; Interactive experience; Machine-learning; Music classroom; Music recommendation; On-machines; Visual algorithm; Machine learning","Article","Scopus"
"Sun P.; Du Y.; Xiong S.","Sun, Peiqi (59301890800); Du, Yanhui (55606681800); Xiong, Siyun (59301932800)","59301890800; 55606681800; 59301932800","Nearest neighbors and density-based undersampling for imbalanced data classification with class overlap","Neurocomputing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202354154&doi=10.1016%2fj.neucom.2024.128492&partnerID=40&md5=d05f2140498c99c07f71eef288e5ef73","While addressing the problem of imbalanced data classification, most existing resampling methods primarily focus on balancing class distribution. However, they often overlook class overlap and fail to adequately consider the feature distributions of different classes. Consequently, when resampling is performed under such conditions, samples within areas of overlap remain susceptible to misclassification, failing to substantially improve overall performance. To address these shortcomings, we propose a novel data resampling technique, Nearest Neighbors and Density-based Undersampling (NDU). This method employs within-class k-nearest neighbors and between-class probability densities to design a weight assignment strategy. Leveraging this strategy, we establish an exclusive metric, the F_factor, to evaluate the importance of majority class samples in overlap areas. Subsequently, NDU promotes a gradient-based segmented undersampling strategy, which applies varying degrees of undersampling to majority class samples across segmented regions. Through experiments on binary imbalanced datasets with class overlap, we evaluate the efficiency of diverse resampling methods concerning classification performance. The results demonstrate that our proposed method effectively addresses class overlap challenges. © 2024 Elsevier B.V.","Class overlap; Imbalanced classification; K-nearest neighbor; Probability density; Undersampling","Class overlap; Data classification; Density-based; Imbalanced classification; Imbalanced data; K-near neighbor; Nearest-neighbour; Probability densities; Resampling method; Under-sampling; algorithm; Article; artificial neural network; classification algorithm; dispersity; entropy; k nearest neighbor; learning algorithm; machine learning; nerve cell network; sensitivity and specificity; signal noise ratio; support vector machine; k-nearest neighbors","Article","Scopus"
"Brzenczek C.; Klopfenstein Q.; Hähnel T.; Fröhlich H.; Glaab E.; Zelimkhanov G.; Wollscheid-Lengeling E.; Wilmes P.; Vilas Boas L.; Vega C.; Vaillant M.; Tsurkalenko O.; Trouet J.; Ting Jiin Loo R.; Thiry E.; Thien H.; Theresine M.; Sokolowska K.; Soboleva E.; Soare R.; Sharify A.; Severino R.; Schwamborn J.; Schneider R.; Schmitz S.; Satagopam V.; Sapienza S.; Rosales E.; Roomp K.; Roland O.; Richard I.; Remark L.; Reddy Bobbili D.; Rawal R.; Rauschenberger A.; Pexaras A.; Perquin M.; Pavelka L.; Pauly L.; Pauly C.; Pachchek S.; Gomes C.P.C.; Noor F.; Niño Uribe M.F.; Nicolay J.-P.; Nicolai B.; Nickels S.; Nehrbass U.; Nati R.; Munsch M.; Mtimet S.; Mittelbronn M.; Minelli M.; Menster M.; Mendibide A.; Meisch F.; Mediouni C.; Mcintyre D.; May P.; Martins Conde P.; Marques G.; Marques T.M.; Lorentz V.; Lopes A.F.; Lentz R.; Landoulsi Z.; Lambert P.; Krüger R.; Kofanova O.; Klucken J.; Jónsdóttir S.; Jacoby N.; Hundt A.; Herzinger S.; Herbrink S.; Henry M.; Henry E.; Heneka M.; Hansen L.; Hanff A.-M.; Hammot G.; Grünewald A.; Groues V.; Graziano M.; Graas J.; Gómez De Lope E.; Goergen M.; Glaab E.; Giraitis M.; Ghosh S.; Georges L.; Gawron P.; Gantenbein M.; Gamio C.; Fritz J.; Frauenknecht K.; Ferrari A.; Ramia N.E.; Dondelinger R.; Diederich N.; Dewitt B.; De Bremaeker N.; Contesotto G.; Castillo L.; Bouvier D.; Boussaad I.; Bisdorff A.; Berchem G.; Béchet S.; Beaumont K.; Batutu R.; Bassis M.; Arena G.; Ammerlann W.; Ali M.; Alexandre M.; Aguayo G.; Acharya G.","Brzenczek, Cyril (57219905613); Klopfenstein, Quentin (57204021202); Hähnel, Tom (57219956121); Fröhlich, Holger (7005180387); Glaab, Enrico (35190313500); Zelimkhanov, Gelani (58176743300); Wollscheid-Lengeling, Evi (57199506944); Wilmes, Paul (57207607143); Vilas Boas, Liliana (58337214400); Vega, Carlos (57192916341); Vaillant, Michel (23475593900); Tsurkalenko, Olena (59286797700); Trouet, Johanna (57192384502); Ting Jiin Loo, Rebecca (58340537700); Thiry, Elodie (57842941600); Thien, Hermann (57841758300); Theresine, Maud (26041123700); Sokolowska, Kate (57214599145); Soboleva, Ekaterina (57842941500); Soare, Ruxandra (58845480000); Sharify, Amir (57842941400); Severino, Raquel (58706177800); Schwamborn, Jens (59157655700); Schneider, Reinhard (23098235400); Schmitz, Sabine (57205230695); Satagopam, Venkata (57207906980); Sapienza, Stefano (56654985300); Rosales, Eduardo (59260706000); Roomp, Kirsten (6506024763); Roland, Olivia (56020470600); Richard, Ilsé (59008840300); Remark, Lucie (57221248263); Reddy Bobbili, Dheeraj (57205748885); Rawal, Rajesh (57216598064); Rauschenberger, Armin (57192690794); Pexaras, Achilleas (57209408657); Perquin, Magali (6505974383); Pavelka, Lukas (57205230728); Pauly, Laure (57221252667); Pauly, Claire (57205230111); Pachchek, Sinthuja (57192558733); Gomes, Clarissa P. C. (59299806400); Noor, Fozia (8215927200); Niño Uribe, Maria Fernanda (59316427200); Nicolay, Jean-Paul (57219381383); Nicolai, Beatrice (57205230255); Nickels, Sarah (56955188300); Nehrbass, Ulf (6603347342); Nati, Romain (6602799864); Munsch, Maeva (57221253475); Mtimet, Saïda (59008023500); Mittelbronn, Michel (6603659430); Minelli, Maura (57219386032); Menster, Myriam (57219390984); Mendibide, Alexia (59008234600); Meisch, Francoise (57841012400); Mediouni, Chouaib (57843236700); Mcintyre, Deborah (56259565900); May, Patrick (35345177300); Martins Conde, Patricia (57220027440); Marques, Guilherme (57219395698); Marques, Tainá M. (57191959733); Lorentz, Victoria (57219382579); Lopes, Ana Festas (57221247819); Lentz, Roseline (57219388690); Landoulsi, Zied (55760936700); Lambert, Pauline (57204250268); Krüger, Rejko (7102281350); Kofanova, Olga (8216592000); Klucken, Jochen (6603201965); Jónsdóttir, Sonja (58666311900); Jacoby, Nadine (57219378510); Hundt, Alexander (57219380655); Herzinger, Sascha (57194974924); Herbrink, Sylvia (57219381809); Henry, Margaux (57221251786); Henry, Estelle (56605892900); Heneka, Michael (7003653109); Hansen, Linda (57219387635); Hanff, Anne-Marie (56801089400); Hammot, Gaël (58176973000); Grünewald, Anne (14013635900); Groues, Valentin (25929180900); Graziano, Mariella (7005346239); Graas, Jérôme (57219391431); Gómez De Lope, Elisa (57853376700); Goergen, Martine (6603751361); Glaab, Enrico (59316428700); Giraitis, Marijus (58176763800); Ghosh, Soumyabrata (57221253214); Georges, Laura (56606020200); Gawron, Piotr (44361822800); Gantenbein, Manon (6601976548); Gamio, Carlos (59008020500); Fritz, Joëlle (57201603744); Frauenknecht, Katrin (9435274800); Ferrari, Angelo (59008640100); Ramia, Nancy E. (58945155800); Dondelinger, Rene (55358674400); Diederich, Nico (7003334488); Dewitt, Brian (59299806300); De Bremaeker, Nancy (56604976400); Contesotto, Gessica (57841177800); Castillo, Lorieza (59261246500); Bouvier, David (16021507200); Boussaad, Ibrahim (15049160400); Bisdorff, Alexandre (6602758353); Berchem, Guy (6602143299); Béchet, Sibylle (57190668772); Beaumont, Katy (57219391553); Batutu, Roxane (57203572312); Bassis, Michele (57841469900); Arena, Giuseppe (57189694865); Ammerlann, Wim (59260705900); Ali, Muhammad (58776827200); Alexandre, Myriam (57842645200); Aguayo, Gloria (57113768800); Acharya, Geeta (57221247295)","57219905613; 57204021202; 57219956121; 7005180387; 35190313500; 58176743300; 57199506944; 57207607143; 58337214400; 57192916341; 23475593900; 59286797700; 57192384502; 58340537700; 57842941600; 57841758300; 26041123700; 57214599145; 57842941500; 58845480000; 57842941400; 58706177800; 59157655700; 23098235400; 57205230695; 57207906980; 56654985300; 59260706000; 6506024763; 56020470600; 59008840300; 57221248263; 57205748885; 57216598064; 57192690794; 57209408657; 6505974383; 57205230728; 57221252667; 57205230111; 57192558733; 59299806400; 8215927200; 59316427200; 57219381383; 57205230255; 56955188300; 6603347342; 6602799864; 57221253475; 59008023500; 6603659430; 57219386032; 57219390984; 59008234600; 57841012400; 57843236700; 56259565900; 35345177300; 57220027440; 57219395698; 57191959733; 57219382579; 57221247819; 57219388690; 55760936700; 57204250268; 7102281350; 8216592000; 6603201965; 58666311900; 57219378510; 57219380655; 57194974924; 57219381809; 57221251786; 56605892900; 7003653109; 57219387635; 56801089400; 58176973000; 14013635900; 25929180900; 7005346239; 57219391431; 57853376700; 6603751361; 59316428700; 58176763800; 57221253214; 56606020200; 44361822800; 6601976548; 59008020500; 57201603744; 9435274800; 59008640100; 58945155800; 55358674400; 7003334488; 59299806300; 56604976400; 57841177800; 59261246500; 16021507200; 15049160400; 6602758353; 6602143299; 57190668772; 57219391553; 57203572312; 57841469900; 57189694865; 59260705900; 58776827200; 57842645200; 57113768800; 57221247295","Integrating digital gait data with metabolomics and clinical data to predict outcomes in Parkinson’s disease","npj Digital Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203273723&doi=10.1038%2fs41746-024-01236-z&partnerID=40&md5=c16d7a305dfcf44afd8c0178c19714a1","Parkinson’s disease (PD) presents diverse symptoms and comorbidities, complicating its diagnosis and management. The primary objective of this cross-sectional, monocentric study was to assess digital gait sensor data’s utility for monitoring and diagnosis of motor and gait impairment in PD. As a secondary objective, for the more challenging tasks of detecting comorbidities, non-motor outcomes, and disease progression subgroups, we evaluated for the first time the integration of digital markers with metabolomics and clinical data. Using shoe-attached digital sensors, we collected gait measurements from 162 patients and 129 controls in a single visit. Machine learning models showed significant diagnostic power, with AUC scores of 83–92% for PD vs. control and up to 75% for motor severity classification. Integrating gait data with metabolomics and clinical data improved predictions for challenging-to-detect comorbidities such as hallucinations. Overall, this approach using digital biomarkers and multimodal data integration can assist in objective disease monitoring, diagnosis, and comorbidity detection. © The Author(s) 2024.","","Diagnosis; Disease control; Clinical data; Comorbidities; Digital markers; Digital sensors; Disease progression; Metabolomics data; Monitoring and diagnosis; Monocentric; Primary objective; Sensors data; adult; apathy; Article; clinical outcome; clinical study; cognitive defect; comorbidity; controlled study; cross validation; cross-sectional study; data integration; depression; digital technology; disease exacerbation; disease severity; dopamine dysregulation syndrome; dyskinesia; female; freezing of gait; gait; gait disorder; hallucination; human; machine learning; major clinical study; male; MDS-Unified Parkinson Disease Rating Scale; metabolomics; middle aged; motor dysfunction; motor performance; Parkinson disease; patient monitoring; quality of life; time series analysis; Neurodegenerative diseases","Article","Scopus"
"Karthiga M.; Abirami S.P.; Arunkumar B.; Vanitha Sheba M.","Karthiga, M. (58305400900); Abirami, S.P. (57424996300); Arunkumar, B. (57188830256); Vanitha Sheba, M. (59185228400)","58305400900; 57424996300; 57188830256; 59185228400","Entertainment analysis in gaming model for business management with decision making and Machine learning model","Entertainment Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196734532&doi=10.1016%2fj.entcom.2024.100725&partnerID=40&md5=9c1588c9cf597083bb16598e0a784cf2","Marketing strategies are being revolutionised by rise of consumer-generated data as well as expanding availability of Machine Learning (ML) tools. It is highly unlikely that academics and marketers fully comprehend the myriad of options that machine learning (ML) applications provide for establishing and preserving a competitive economic edge. Despite the catastrophic, unequal, oppressive effects of algorithmic bias on different client groups, research in this area is still lacking despite the enormous increase of algorithmic decision making in marketing. This study fills this gap by presenting a paradigm that uses the micro foundations of dynamic capacity to uncover the causes of algorithmic bias in marketing. Purpose of this research is to create a fresh method to entertainment analysis for machine learning-based business management decision making. In this study, a game model using fuzzy swarm Gaussian recursive neural networks is developed for entertainment analysis in social network-based business intelligence and decision making modelling. The MSE, MAE, f-1 score, accuracy, precision, recall, and precision are all included in the experimental study. We provide a methodology to provide a dynamic method management capacity to address algorithmic bias in ML-based marketing decision making by combining several points of view utilising theories as well as practices. © 2024","Business Management; Decision Making; Entertainment Analysis; Gaming Model; Machine Learning","Commerce; Fuzzy inference; Fuzzy neural networks; Machine learning; Marketing; Algorithmics; Business management; Decisions makings; Entertainment analyse; Gaming model; Learning tool; Machine learning applications; Machine learning models; Machine-learning; Marketing strategy; Decision making","Article","Scopus"
"Tu J.; Gu S.; Hou C.","Tu, Jiahang (59314194600); Gu, Shilin (57208866015); Hou, Chenping (59315576700)","59314194600; 57208866015; 59315576700","Online imbalance learning with unpredictable feature evolution and label scarcity","Neurocomputing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203119580&doi=10.1016%2fj.neucom.2024.128476&partnerID=40&md5=de7ef61bf5280e8c5b8e342a212b7a4f","Recently, online learning with imbalanced data streams has aroused wide concern, which reflects an uneven distribution of different classes in data streams. Existing approaches have conventionally been conducted on stationary feature space and they assume that we can obtain the entire labels of data streams in the case of supervised learning. However, in many real scenarios, e.g., the environment monitoring task, new features flood in, and old features are partially lost during the changing environment as the different lifespans of different sensors. Besides, each instance needs to be labeled by experts, resulting in expensive costs and scarcity of labels. To address the above problems, this paper proposes a novel Online Imbalance learning with unpredictable Feature evolution and Label scarcity (OIFL) algorithm. First, we utilize margin-based online active learning to selectively label valuable instances. After obtaining the labels, we handle imbalanced class distribution by optimizing F-measure and transforming F-measure optimization into a weighted surrogate loss minimization. When data streams arrive with augmented features, we combine the online passive-aggressive algorithm and structural risk minimization to update the classifier in the divided feature space. When data streams arrive with incomplete features, we leverage variance to identify the most informative features following the empirical risk minimization principle and continue to update the existing classifier as before. Finally, we obtain a sparse but reliable learner by the strategy of projecting truncation. We derive theoretical analyses of OIFL. Also, experiments on the synthetic datasets and real-world data streams to validate the effectiveness of our method. © 2024 Elsevier B.V.","Feature evolution; Label scarcity; Online imbalance learning","Active learning; Contrastive Learning; Federated learning; Self-supervised learning; Data stream; Different class; F measure; Feature evolution; Feature space; Imbalanced data; Label scarcity; Online imbalance learning; Online learning; Stationary features; algorithm; Article; data base; e-learning; environmental monitoring; environmental surveillance; event related potential; evolution; feature evolution; human; learning; machine learning; mathematical parameters; Online imbalance learning; process optimization; sensitivity and specificity; signal noise ratio; Adversarial machine learning","Article","Scopus"
"Güzelci O.Z.; Alaçam S.; Bekiroğlu B.; Karadag I.","Güzelci, Orkan Zeynel (57199703925); Alaçam, Sema (56026097700); Bekiroğlu, Baver (59314956500); Karadag, Ilker (57225245774)","57199703925; 56026097700; 59314956500; 57225245774","A machine learning-based prediction model for architectural heritage: The case of domed Sinan mosques","Digital Applications in Archaeology and Cultural Heritage","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203120075&doi=10.1016%2fj.daach.2024.e00370&partnerID=40&md5=42a92815189e0c3d377220e7ce1161cd","This study presents a machine learning-based prediction model (PM) customized to predict missing components of historical mosques. Domed mosques built by Architect Sinan during the Classical Ottoman Period (16th century) are selected due to their distinctive features and stylistic similarities. The model development process includes data collection (46 domed Sinan mosques), data preparation and refinement, training, testing, and validation. The Pix2Pix method is used to train and validate the machine learning models, and the Structural Similarity (SSIM) metric is used to objectively evaluate the outcomes. Preliminary results indicate that the success of the PMs is not directly proportional to the number of input components. Instead, factors such as overall mass organization, the curvature of the dome, and the number of balconies on the minaret play crucial roles in determining the success of the outcomes. © 2024 Elsevier Ltd","Architect Sinan; Architectural heritage; Domed mosques; Machine learning; Pix2Pix; Prediction model","","Article","Scopus"
"Chen T.; Wang L.; Liu Y.; Chen C.L.P.","Chen, Tao (59208226300); Wang, Lijie (56900909300); Liu, Yang (57216669715); Chen, C.L. Philip (57217604244)","59208226300; 56900909300; 57216669715; 57217604244","Double-kernel based Bayesian approximation broad learning system with dropout","Neurocomputing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203121167&doi=10.1016%2fj.neucom.2024.128533&partnerID=40&md5=1f3fae05b28858f0d01e432dc4a87203","Broad learning system (BLS) is an efficient incremental learning machine algorithm. However, there are some disadvantages in such an algorithm. For example, the number of hidden layer nodes needs to be manually adjusted during the training process, meanwhile the large uncertainty will be caused by two random mappings. To solve these problems, based on the optimization ability of the kernel function, a double-kernel broad learning system (DKBLS) is proposed to eliminate the uncertainty of random mapping by using additive kernel strategy. Meanwhile, to reduce the computing costs and training time of DKBLS, a double-kernel based bayesian approximation broad learning system with dropout (Dropout-DKBLS) is further proposed. Ablation experiments show that the output accuracy of Dropout-DKBLS does not decrease even if the node is dropped. In addition, function approximation experiments show that DKBLS and Dropout-DKBLS have good robustness and can accurately predict noise data. The regression and classification experiments on multiple datasets are compared with the latest kernel-based learning methods. The comparison results show that both DKBLS and Dropout-DKBLS have good regression and classification performance. By further comparing the training time of these kernel-based learning methods, we prove that the Dropout-DKBLS can reduce the computational cost while ensuring the output accuracy. © 2024 Elsevier B.V.","Bayesian approximation; Broad learning system; Double-kernel; Dropout","Contrastive Learning; Federated learning; Bayesian; Bayesian approximation; Broad learning system; Double-kernel; Dropout; Kernel-based learning; Output accuracy; Random Mappings; Training time; Uncertainty; algorithm; article; controlled study; female; learning; machine learning; noise; Adversarial machine learning","Article","Scopus"
